Pair Compared	DIFF	LWR	UPR	P.adj
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, MYB/MYBL1	-28.517959183673497	-43.90181386568742	-13.134104501659571	9.343892415358823e-8
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, BRAF V600E	27.30156250000004	11.683736857380984	42.91938814261909	6.823516893739168e-7
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, FGFR	-18.010816326530552	-28.46208753836786	-7.559545114693243	1.0751631306371578e-6
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, KIAA1549-BRAF	25.285192307692345	10.137838968367578	40.43254564701711	2.849920449077281e-6
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma, BRAF V600E	16.794419642857093	6.001710860104415	27.58712842560977	2.0363021292491013e-5
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.53000000000003	-41.985912895814344	-9.074087104185715	2.2033696461587482e-5
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	30.565000000000047	10.80983954797641	50.320160452023686	2.365958361838505e-5
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.76875000000003	-43.27982814527135	-8.257671854728702	8.232650000383757e-5
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, IDH	29.042500000000008	9.28733954797637	48.79766045202365	8.427087144335932e-5
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, FGFR	-14.7780494505494	-24.877970155803016	-4.678128745295783	9.423039161449154e-5
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma (WHO grade I/II)	25.471250000000033	7.960171854728706	42.98232814527136	1.0816794518186956e-4
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, FGFR	-15.022857142857085	-26.996292502046416	-3.0494217836677553	0.002166008248567275
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, MYB/MYBL1	-29.45000000000003	-53.061932954250054	-5.838067045750005	0.0024014755197909743
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	20.057857142857102	3.845749027277055	36.26996525843715	0.0027578216678464385
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, MYB/MYBL1	-35.24000000000003	-65.1069952378474	-5.373004762152661	0.005940649537332976
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, FGFR	-18.535357142857062	-34.74746525843711	-2.323249027277015	0.009493840494570582
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, FGFR	-15.261607142857084	-28.64831483653056	-1.8748994491836068	0.009888875249203899
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma (WHO grade I/II)	14.964107142857088	1.577399449183611	28.350814836530567	0.013023718822893549
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, H3	27.860000000000046	-2.006995237847324	57.72699523784742	0.09794844809322578
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, MYB/MYBL1	-27.440000000000037	-57.3069952378474	2.4269952378473327	0.11168015918208152
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, FGFR	-18.942857142857086	-39.68145552611472	1.7957412404005417	0.11726824285508541
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, FGFR	-24.732857142857085	-52.38432165386726	2.9186073681530864	0.13895025027246166
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.610000000000042	-55.47699523784741	4.2569952378473275	0.18985800147415421
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-20.72795918367327	-46.85613721326654	5.400218845920001	0.3067111153295339
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	22.77499999999982	-6.143593789359951	51.693593789359596	0.318934672443968
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, NF1-somatic	27.449999999999804	-9.129449241430777	64.02944924143038	0.40358894125618383
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, BRAF V600E	19.511562499999812	-6.7550547179071785	45.7781797179068	0.421992469339978
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, IDH	21.25249999999978	-7.666093789359991	50.17109378935955	0.44150492156258636
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-3.2327668759811505	-7.7145740778670415	1.2490403259047405	0.4756542357713507
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-21.659999999999805	-53.3387322995221	10.01873229952249	0.5724308172176049
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, KIAA1549-BRAF	17.49519230769212	-8.494440538024499	43.484825153408735	0.5997780369937445
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.739999999999803	-44.513415387346754	9.033415387347151	0.6268812689204653
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.978749999999803	-45.413336931072735	9.455836931073133	0.6453375329361052
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma (WHO grade I/II)	17.681249999999807	-9.753336931073129	45.11583693107274	0.6724902442048577
Low-grade glioma/astrocytoma, H3-Low-grade glioma/astrocytoma, FGFR	-17.3528571428571	-45.00432165386727	10.298607368153071	0.7136393582179807
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, FGFR	-16.93285714285709	-44.58432165386726	10.71860736815308	0.7488909363517267
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, FGFR	10.507142857142945	-7.341800734421689	28.35608644870758	0.7999270219795517
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, H3	20.06999999999982	-16.50944924143076	56.6494492414304	0.8726917550621229
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, FGFR	-15.102857142857097	-42.754321653867265	12.548607368153075	0.8765963705952022
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, NF1-germline	19.64999999999981	-16.92944924143077	56.22944924143039	0.8901332608839454
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.819999999999816	-54.399449241430396	18.759449241430765	0.9479427441241809
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	5.279807692307703	-7.8993415747259395	18.458956959341343	0.9912942420450784
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, BRAF V600E	2.0163701923076935	-3.2124048765591793	7.245145261174566	0.9940988846814909
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-9.954807692307686	-35.9444405380243	16.03482515340893	0.9944989689165327
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, other MAPK	-2.987959183673466	-10.826412592551447	4.850494225204516	0.9947679517901555
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-somatic	9.71	-17.063415387346954	36.48341538734695	0.9969193321188197
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma (WHO grade I/II)	-9.768749999999997	-37.20333693107293	17.66583693107294	0.9974776144828041
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, NF1-somatic	9.471250000000001	-17.963336931072934	36.90583693107294	0.9982084838681333
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	5.035000000000018	-9.629403549105822	19.69940354910586	0.9983147559727215
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-Low-grade glioma/astrocytoma (WHO grade I/II)	-5.093750000000014	-20.93311614976116	10.745616149761133	0.9992021135361242
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma (WHO grade I/II)	-3.046709183673462	-12.909880094608859	6.8164617272619346	0.9995027642879121
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	4.796250000000018	-11.04311614976113	20.635616149761166	0.9996078468718246
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, BRAF V600E	-7.938437499999992	-34.20505471790698	18.328179717907	0.9996167565913262
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, IDH	3.7573076923076627	-9.42184157472598	16.936456959341307	0.9998112856090544
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, RTK	-2.7492091836734662	-12.612380094608863	7.11396172726193	0.9998571680664261
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, NF1-somatic	9.629999999999988	-26.949449241430592	46.20944924143057	0.999930188337231
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, MYB/MYBL1	-7.7900000000002265	-37.656995237847596	22.076995237847143	0.9999379639880397
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, NF1-somatic	6.722040816326535	-19.40613721326674	32.850218845919805	0.9999479008193439
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, IDH	3.512499999999978	-11.151903549105862	18.176903549105816	0.9999792877489131
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-Low-grade glioma/astrocytoma, BRAF V600E	-3.263437500000009	-16.980730965536477	10.453855965536459	0.9999810427370048
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-4.164807692307686	-22.629557589166645	14.299942204551272	0.9999906032173873
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma (WHO grade I/II)	-3.5712499999999743	-19.410616149761122	12.268116149761173	0.9999906515813368
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, IDH	-6.197500000000023	-35.116093789359795	22.72109378935975	0.9999952495068566
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, BRAF V600E	1.7715625000000088	-6.516672822979086	10.059797822979103	0.9999954146493403
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, NF1-germline	-7.799999999999994	-44.37944924143058	28.779449241430587	0.9999955593359346
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, BRAF V600E	-1.216396683673457	-7.095236740331942	4.662443372985028	0.9999970401996033
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, IDH	3.2737499999999784	-12.56561614976117	19.113116149761126	0.9999970837276726
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, H3	-7.379999999999985	-43.95944924143056	29.199449241430596	0.9999978979620991
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, other MAPK	-3.9200000000000017	-23.472538065474456	15.632538065474453	0.9999980705562724
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma (WHO grade I/II)	-3.978749999999998	-24.427283770835473	16.469783770835477	0.9999987175078462
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, NF1-somatic	5.789999999999999	-25.888732299522296	37.468732299522294	0.9999994578524367
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, RTK	-3.681250000000002	-24.129783770835477	16.767283770835473	0.9999995604496501
Low-grade glioma/astrocytoma, BRAF V600E-Low-grade glioma/astrocytoma (WHO grade I/II)	-1.8303125000000051	-12.054579385417743	8.393954385417732	0.9999995934120209
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	4.955000000000005	-23.963593789359766	33.873593789359774	0.9999997791085224
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	-4.674999999999983	-33.59359378935976	24.24359378935979	0.9999999023186271
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	2.047040816326552	-11.40326204620119	15.497343678854294	0.9999999583737339
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, BRAF V600E	1.5328125000000092	-8.691454385417728	11.757079385417747	0.9999999663827488
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, BRAF V600E	-1.7409374999999692	-15.458230965536437	11.976355965536499	0.9999999969073088
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, other MAPK, IDH	-3.839999999999989	-35.518732299522284	27.838732299522306	0.9999999984079224
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, IDH	3.4324999999999655	-25.486093789359806	32.35109378935974	0.9999999988259711
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, BRAF V600E	-2.148437499999993	-21.001054118667255	16.70417911866727	0.99999999934993955
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, other MAPK, IDH	-2.9079591836734533	-29.036137213266727	23.220218845919817	0.999999999539199
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	3.1250000000000107	-25.79359378935976	32.04359378935978	0.9999999997001594
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, H3	2.574807692307701	-23.414825153408916	28.564440538024318	0.9999999999158261
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, FGFR	2.7171428571427185	-24.934321653867453	30.36860736815289	0.999999999925347
Low-grade glioma/astrocytoma, H3-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	2.705000000000002	-26.21359378935977	31.623593789359774	0.9999999999638298
Low-grade glioma/astrocytoma, H3-Low-grade glioma/astrocytoma (WHO grade I/II)	-2.3887500000000124	-29.823336931072948	25.045836931072923	0.9999999999874187
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, H3	2.330000000000016	-24.44341538734694	29.10341538734697	0.9999999999875123
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	1.52250000000004	-16.76722462071525	19.81222462071533	0.999999999993544
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-2.154807692307692	-28.14444053802431	23.834825153408925	0.9999999999939151
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, H3	2.0912500000000165	-25.34333693107292	29.525836931072952	0.9999999999983714
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma (WHO grade I/II)	-1.9687500000000036	-29.40333693107294	25.465836931072932	0.9999999999994599
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-germline	1.9100000000000072	-24.863415387346947	28.68341538734696	0.9999999999995245
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma (WHO grade I/II)	0.18605769230768843	-9.3040144216097609	9.676129806225138	1
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma (WHO grade I/II)	-0.058749999999996305	-11.52244158585611	11.404941585856117	1
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma (WHO grade I/II)	-0.1387500000000088	-27.573336931072944	27.295836931072927	1
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma (WHO grade I/II)	-0.2974999999999959	-13.230288305342334	12.635288305342343	1
