rowname	Df	Sum Sq	Mean Sq	F value	Pr(>F)	gene
combined_fixed$harmonized_diagnosis	33	139525.95044185725	4228.059104298704	9.193926875418937	1.43571558557521e-34	SLC7A5
Residuals                          	533	245113.48992957076	459.87521562771246	NA	NA	SLC7A5
combined_fixed$harmonized_diagnosis	33	4860.902172580396	147.30006583576957	5.161897081619256	3.3900147694519237e-17	FOLH1
Residuals                          	533	15209.705627419595	28.536033072081793	NA	NA	FOLH1
combined_fixed$harmonized_diagnosis	33	3788.21476875021	114.79438693182455	6.565449717183627	2.0850798723371106e-23	BRAF
Residuals                          	533	9319.301932131635	17.484619009627835	NA	NA	BRAF
combined_fixed$harmonized_diagnosis	33	17044.841436596955	516.5103465635441	12.291513985562903	9.510535795661099e-47	NRAS
Residuals                          	533	22397.567544708072	42.02170271052171	NA	NA	NRAS
combined_fixed$harmonized_diagnosis	33	1633573.454856995	49502.225904757426	6.051641893866514	3.787910343644797e-21	PEBP1
Residuals                          	533	4359921.963323248	8179.96616008114	NA	NA	PEBP1
combined_fixed$harmonized_diagnosis	33	113018.28488876384	3424.7965117807225	8.48356857917459	1.2628788164463682e-31	MAPK1
Residuals                          	533	215170.83568583935	403.697627928404	NA	NA	MAPK1
combined_fixed$harmonized_diagnosis	33	108083.85191365203	3275.268239807637	9.185292606119635	1.5578214413680756e-34	MAPK3
Residuals                          	533	190055.78228987486	356.57745270145375	NA	NA	MAPK3
combined_fixed$harmonized_diagnosis	33	44470.31251653719	1347.5852277738543	5.786649911153154	5.636430423785478e-20	MAP2K1
Residuals                          	533	124124.13701044687	232.8783058357352	NA	NA	MAP2K1
combined_fixed$harmonized_diagnosis	33	119462.16600456859	3620.065636502078	13.319844660437923	1.467826518114263e-50	MAP2K2
Residuals                          	533	144858.67016051002	271.77986896906197	NA	NA	MAP2K2
