Pair Compared	DIFF	LWR	UPR	P.adj
Medulloblastoma, group 4-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.736923758865246	-7.900101021507282	-1.57374649622321	1.8239262137176304e-5
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.251602564102566	-7.106770120222997	-1.396435007982134	2.1439234011877417e-5
Medulloblastoma, group 4-High-grade glioma/astrocytoma, H3 wildtype	-3.627652925531918	-6.517258278715769	-0.7380475723480671	0.0013403967888304669
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.601105072463775	-8.280092432998444	-0.9221177119291051	0.0014476337082692803
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma, H3 wildtype	-3.142331730769238	-5.691078574960695	-0.5935848865777804	0.0019222475492587376
Low-grade glioma/astrocytoma, BRAF V600E-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.094583333333332	-7.499153656329702	-0.690013010336961	0.0030824094620828246
Medulloblastoma-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.540138888888891	-8.471398073802822	-0.6088797039749596	0.006324330237828968
Medulloblastoma, group 4-High-grade glioma/astrocytoma, IDH-mutant	-10.427340425531975	-19.530308485222992	-1.3243723658409579	0.007253453254706166
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma, IDH-mutant	-10.291521739130506	-19.58632055889165	-0.996722919369363	0.012489356909088367
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, IDH	-7.259840425531839	-13.826659773574818	-0.6930210774888605	0.012787550613558185
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma, IDH-mutant	-9.942019230769295	-18.942592483311714	-0.9414459782268771	0.01295429380723001
Medulloblastoma-High-grade glioma/astrocytoma, IDH-mutant	-10.23055555555562	-19.628062452591102	-0.8330486585201395	0.01612058685593898
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, wildtype	-2.753973078593136	-5.328145026195017	-0.1798011309912546	0.020740738299235062
Medulloblastoma, WNT-activated-High-grade glioma/astrocytoma, IDH-mutant	-10.500555555555618	-20.356743939906455	-0.6443671712047809	0.02200177291739769
Low-grade glioma/astrocytoma, BRAF V600E-High-grade glioma/astrocytoma, IDH-mutant	-9.78500000000006	-18.97463743490939	-0.595362565090733	0.02217338922715706
Medulloblastoma, group 3-High-grade glioma/astrocytoma, IDH-mutant	-10.264090909090976	-19.955997981929936	-0.572183836252016	0.02390760522531299
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, IDH	-6.774519230769158	-13.19864623204013	-0.35039222949818694	0.02534667350097841
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, IDH	-7.1240217391303675	-13.9542760502018	-0.29376742805893485	0.02939916153409239
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, KIAA1549-BRAF	2.2686518838304557	0.08401173166634912	4.453292035994562	0.031151306038525672
Medulloblastoma-Low-grade glioma/astrocytoma, IDH	-7.063055555555484	-14.032433198782043	-0.09367791232892486	0.042515577168352525
Medulloblastoma, SHH-activated-High-grade glioma/astrocytoma, H3 wildtype	-3.4918342391304473	-6.938437886379004	-0.045230591881889826	0.04268079053717
Medulloblastoma, group 3-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.573674242424247	-9.164395929445426	0.01704744459693064	0.052258107911073104
Low-grade glioma/astrocytoma, IDH-Low-grade glioma/astrocytoma, BRAF V600E	6.617499999999924	-0.06894337739912793	13.303943377398976	0.05648618019020568
Medulloblastoma, WNT-activated-High-grade glioma/astrocytoma (WHO grade III/IV)	-4.810138888888888	-9.738233081064307	0.11795530328653037	0.06614746534720872
