Pair Compared	DIFF	LWR	UPR	P.adj
Cranio_Craniopharyngioma n=11-Cranio_Adamantinomatous Craniopharyngioma n=17	-1.0880748663101318	-32.88331699314146	30.707167260521203	1
EPN_Ependymoma n=47-Cranio_Adamantinomatous Craniopharyngioma n=17	11.992428035043863	-11.262795665164434	35.24765173525216	0.9898875471388369
EPN_Ependymoma, H3 K28_mutant n=1-Cranio_Adamantinomatous Craniopharyngioma n=17	4.566470588235333	-79.98393904517262	89.11688022164329	1
EPN_Ependymoma, Posterior Fossa, Type A n=1-Cranio_Adamantinomatous Craniopharyngioma n=17	5.566470588235328	-78.98393904517262	90.11688022164329	1
EPN_Ependymoma, Supratentorial, RELA fusion positive n=20-Cranio_Adamantinomatous Craniopharyngioma n=17	0.6319705882353368	-26.47402277626864	27.737963952739314	1
EPN_Ependymoma, Supratentorial, YAP1 fusion positive n=3-Cranio_Adamantinomatous Craniopharyngioma n=17	32.81313725490202	-18.642603414564242	84.26887792436827	0.8620855212769994
HGG_Brainstem glioma_ Diffuse intrinsic pontine glioma n=4-Cranio_Adamantinomatous Craniopharyngioma n=17	53.48397058823509	7.821530523378179	99.146410653092	0.0040667234931988094
HGG_Diffuse midline glioma, H3 K28_mutant n=54-Cranio_Adamantinomatous Craniopharyngioma n=17	52.35721132897577	29.505866814868046	75.2085558430835	3.1958347079807936e-10
HGG_High_grade glioma/astrocytoma (WHO grade III/IV) n=24-Cranio_Adamantinomatous Craniopharyngioma n=17	24.276053921568618	-1.7714295415197547	50.32353738465699	0.11360647623341902
HGG_High_grade glioma/astrocytoma, H3 G35_mutant n=3-Cranio_Adamantinomatous Craniopharyngioma n=17	42.07647058823505	-9.379270081231212	93.5322112577013	0.34267183915581345
HGG_High_grade glioma/astrocytoma, H3 wildtype n=32-Cranio_Adamantinomatous Craniopharyngioma n=17	22.30522058823562	-2.3553155548416953	46.965756731312936	0.153197210231925
HGG_High_grade glioma/astrocytoma, IDH_mutant n=2-Cranio_Adamantinomatous Craniopharyngioma n=17	26.416470588235228	-35.00797794959695	87.8409191260674	0.9995632732418622
LGG_Low_grade glioma/astrocytoma (WHO grade I/II) n=8-Cranio_Adamantinomatous Craniopharyngioma n=17	8.775220588235397	-26.454116759017914	44.00455793548871	0.999999999171577
LGG_Low_grade glioma/astrocytoma, BRAF V600E n=32-Cranio_Adamantinomatous Craniopharyngioma n=17	6.944908088235325	-17.715628054841993	31.60544423131264	0.9999999768864416
LGG_Low_grade glioma/astrocytoma, BRAF V600E, CDKN2A/B n=4-Cranio_Adamantinomatous Craniopharyngioma n=17	3.6814705882353476	-41.98096947662156	49.34391065309226	1
LGG_Low_grade glioma/astrocytoma, FGFR n=7-Cranio_Adamantinomatous Craniopharyngioma n=17	23.739327731092622	-13.1614962864898	60.640151748675045	0.850290332168509
LGG_Low_grade glioma/astrocytoma, H3 n=1-Cranio_Adamantinomatous Craniopharyngioma n=17	6.38647058823539	-78.16393904517255	90.93688022164335	1
