cindex	day_of_interest
0.8705882352941178	39
0.9411764705882354	61
0.7831325301204821	144
0.560240963855422	150
0.5267489711934159	171
0.5499999999999983	222
0.6898734177215148	232
0.5917721518987307	241
0.5527065527065482	244
0.6155844155844096	260
0.6278586278586228	276
0.6528066528066481	284
0.6125244618395254	294
0.5890410958904058	302
0.5721830985915444	336
0.5882352941176429	349
0.5902097902097865	375
0.6083916083916048	389
0.5846153846153809	392
0.5720108695652136	394
0.5720108695652136	395
0.56494325346784	419
0.5766944114149789	438
0.5806451612903194	502
0.5541474654377847	515
0.5426267281105956	534
0.5552995391705036	535
0.5368663594470011	536
0.5260821309655903	611
0.5294117647058789	638
0.5438401775804629	648
0.5416204217536038	693
0.5360710321864561	702
0.5413943355119794	814
0.5250544662309334	853
0.5283224400871426	854
0.5435729847494521	882
0.5337690631808246	1003
0.5224358974358941	1569
0.5096153846153813	1747
0.5282431627044535	2681
