err.rate	mtry	ntree	nodesize	nsplit
0.32825112107623317	1	100	5	0
0.30930391357521403	1	100	5	1
0.43004484304932733	1	100	10	0
0.492152466367713	1	100	10	1
0.8274663677130045	1	100	20	0
0.9039652312795626	1	100	20	1
0.8536189027180379	1	100	25	0
0.860762331838565	1	100	25	1
0.8959641255605382	1	100	30	0
0.8528026905829597	1	100	30	1
0.3961883408071749	1	200	5	0
0.2510089686098655	1	200	5	1
0.5840807174887892	1	200	10	0
0.34887711140339067	1	200	10	1
0.9117713004484305	1	200	20	0
0.8997858199626116	1	200	20	1
0.8831173085979892	1	200	25	0
0.8934977578475336	1	200	25	1
0.9186659192825112	1	200	30	0
0.9172645739910313	1	200	30	1
0.4014679063375984	1	300	5	0
0.305829596412556	1	300	5	1
0.49896439195489056	1	300	10	0
0.36665877047042966	1	300	10	1
0.9298579970104633	1	300	20	0
0.9320934375317457	1	300	20	1
0.9048579970104634	1	300	25	0
0.9203288490284006	1	300	25	1
0.876083707025411	1	300	30	0
0.945254110612855	1	300	30	1
0.45896860986547083	1	400	5	0
0.3265695067264574	1	400	5	1
0.5265352368605615	1	400	10	0
0.3409473094170403	1	400	10	1
0.9406741768393955	1	400	20	0
0.9343329596412556	1	400	20	1
0.9304932735426009	1	400	25	0
0.9186659192825112	1	400	25	1
0.9411196617912074	1	400	30	0
0.9373878923766816	1	400	30	1
0.3308968609865471	1	500	5	0
0.28046881369751325	1	500	5	1
0.4798878923766816	1	500	10	0
0.32605381165919284	1	500	10	1
0.9442600896860986	1	500	20	0
0.950476665005813	1	500	20	1
0.960067264573991	1	500	25	0
0.9315695067264574	1	500	25	1
0.9537998801430018	1	500	30	0
0.9324164500460858	1	500	30	1
0.33969524677485613	1	600	5	0
0.2689088191330344	1	600	5	1
0.5393684603886397	1	600	10	0
0.3661761958146487	1	600	10	1
0.9506405758329952	1	600	20	0
0.9410179229498664	1	600	20	1
0.9444358098926485	1	600	25	0
0.9568538029518046	1	600	25	1
0.9363722937460823	1	600	30	0
0.951083707025411	1	600	30	1
0.338136076070816	1	700	5	0
0.29907110826393335	1	700	5	1
0.5602270031081691	1	700	10	0
0.38029801760374893	1	700	10	1
0.9497597693786035	1	700	20	0
0.9578155028827675	1	700	20	1
0.9610826393337604	1	700	25	0
0.9410794362588084	1	700	25	1
0.9502562459961563	1	700	30	0
0.9530149590257918	1	700	30	1
0.30472508153281697	1	800	5	0
0.2758968609865471	1	800	5	1
0.3767797085201794	1	800	10	0
0.332987668161435	1	800	10	1
0.9575101143552578	1	800	20	0
0.9510369955156951	1	800	20	1
0.9581137892376682	1	800	25	0
0.9649435743325878	1	800	25	1
0.9440582959641256	1	800	30	0
0.9689181614349776	1	800	30	1
0.32136273044344793	1	900	5	0
0.25384178103909044	1	900	5	1
0.4811543688001087	1	900	10	0
0.31350274040857	1	900	10	1
0.9494002401849936	1	900	20	0
0.9729696063776782	1	900	20	1
0.9717613353263578	1	900	25	0
0.9737294469357249	1	900	25	1
0.9517563527653213	1	900	30	0
0.9506601893373193	1	900	30	1
0.3911659192825112	1	1000	5	0
0.2913340807174888	1	1000	5	1
0.45827354260089687	1	1000	10	0
0.30986547085201793	1	1000	10	1
0.9677042397064819	1	1000	20	0
0.966255605381166	1	1000	20	1
0.9530269058295964	1	1000	25	0
0.9732286995515695	1	1000	25	1
0.9517040358744394	1	1000	30	0
0.9796973094170404	1	1000	30	1
0.3662148389726865	1	1100	5	0
0.3009376273950265	1	1100	5	1
0.4162624076283083	1	1100	10	0
0.3874464940888708	1	1100	10	1
0.9646147574398696	1	1100	20	0
0.971675267761183	1	1100	20	1
0.9567161190920324	1	1100	25	0
0.9711883408071749	1	1100	25	1
0.9757032205462699	1	1100	30	0
0.9716775377089278	1	1100	30	1
0.34405829596412557	1	1200	5	0
0.25192451420029893	1	1200	5	1
0.45210752093699447	1	1200	10	0
0.34721599402092673	1	1200	10	1
0.9757946146819465	1	1200	20	0
0.9666199551569506	1	1200	20	1
0.9661902092675635	1	1200	25	0
0.9711322869955157	1	1200	25	1
0.9556053811659193	1	1200	30	0
0.9743647234678625	1	1200	30	1
0.3533459813728872	1	1300	5	0
0.29040064183310016	1	1300	5	1
0.4326491893756468	1	1300	10	0
0.3386558060773307	1	1300	10	1
0.9588047602621593	1	1300	20	0
0.9751466022766471	1	1300	20	1
0.9715505346671266	1	1300	25	0
0.9639530872714729	1	1300	25	1
0.9741462573301138	1	1300	30	0
0.9743101069334253	1	1300	30	1
0.3827186461771797	1	1400	5	0
0.2748878923766816	1	1400	5	1
0.44887892376681615	1	1400	10	0
0.3048846893017297	1	1400	10	1
0.9857142857142857	1	1400	20	0
0.9620195387572069	1	1400	20	1
0.9717697306245678	1	1400	25	0
0.9733344010249839	1	1400	25	1
0.9764814221652787	1	1400	30	0
0.9755483412223883	1	1400	30	1
0.3923916292974589	1	1500	5	0
0.27044843049327355	1	1500	5	1
0.4398505231689088	1	1500	10	0
0.30551569506726456	1	1500	10	1
0.9716292974588938	1	1500	20	0
0.9724921645209509	1	1500	20	1
0.9799103139013453	1	1500	25	0
0.9751121076233183	1	1500	25	1
0.9713602391629297	1	1500	30	0
0.9733787992027902	1	1500	30	1
0.36268918161434976	1	1600	5	0
0.2973514573991031	1	1600	5	1
0.41280829596412555	1	1600	10	0
0.3118974215246637	1	1600	10	1
0.9708520179372198	1	1600	20	0
0.9768637892376681	1	1600	20	1
0.9747167371585813	1	1600	25	0
0.9737738228699552	1	1600	25	1
0.9739988128160774	1	1600	30	0
0.972155269058296	1	1600	30	1
0.3646663149564759	1	1700	5	0
0.2893949325709426	1	1700	5	1
0.49850793045540376	1	1700	10	0
0.30168820891585335	1	1700	10	1
0.9806713268266948	1	1700	20	0
0.980519225368458	1	1700	20	1
0.9800161142466133	1	1700	25	0
0.9698872009371898	1	1700	25	1
0.9823793194407808	1	1700	30	0
0.979213666552622	1	1700	30	1
0.34052067762830096	1	1800	5	0
0.2787867463876432	1	1800	5	1
0.4434828836174128	1	1800	10	0
0.32815146985550575	1	1800	10	1
0.9753713897094766	1	1800	20	0
0.9761584454409566	1	1800	20	1
0.9780862336346016	1	1800	25	0
0.9834641255605381	1	1800	25	1
0.9774922021136048	1	1800	30	0
0.9808295964125561	1	1800	30	1
0.40690632303046986	1	1900	5	0
0.2636535284399339	1	1900	5	1
0.45433089450082603	1	1900	10	0
0.3789237668161435	1	1900	10	1
0.9755664385178192	1	1900	20	0
0.9750177012036818	1	1900	20	1
0.9737078121312249	1	1900	25	0
0.9822102902997404	1	1900	25	1
0.9819801746518763	1	1900	30	0
0.9785933443474156	1	1900	30	1
0.37502242152466364	1	2000	5	0
0.28767937219730944	1	2000	5	1
0.4210291894075125	1	2000	10	0
0.3357542020940565	1	2000	10	1
0.9879708520179372	1	2000	20	0
0.9780885650224215	1	2000	20	1
0.9810706278026906	1	2000	25	0
0.9716016791353114	1	2000	25	1
0.9823206278026906	1	2000	30	0
0.9812556053811659	1	2000	30	1
0.36479820627802695	2	100	5	0
0.3903587443946188	2	100	5	1
0.37337714944259975	2	100	10	0
0.30581409766278855	2	100	10	1
0.8320627802690583	2	100	20	0
0.8641255605381166	2	100	20	1
0.8684240574655373	2	100	25	0
0.8713004484304933	2	100	25	1
0.8987668161434977	2	100	30	0
0.8919282511210762	2	100	30	1
0.4287571129408927	2	200	5	0
0.2507847533632287	2	200	5	1
0.4026905829596413	2	200	10	0
0.3955156950672646	2	200	10	1
0.9066704035874439	2	200	20	0
0.9161434977578475	2	200	20	1
0.9040366511666442	2	200	25	0
0.9039237668161435	2	200	25	1
0.9018497757847533	2	200	30	0
0.9051569506726458	2	200	30	1
0.3534110405727759	2	300	5	0
0.3366328959751979	2	300	5	1
0.45702541106128547	2	300	10	0
0.31367713004484304	2	300	10	1
0.9325485799701047	2	300	20	0
0.9414009300780601	2	300	20	1
0.9334828101644245	2	300	25	0
0.9138639760837071	2	300	25	1
0.9042600896860986	2	300	30	0
0.9252069146874827	2	300	30	1
0.32701793721973094	2	400	5	0
0.3142769836821126	2	400	5	1
0.37315022421524663	2	400	10	0
0.3897094544095665	2	400	10	1
0.9209360986547085	2	400	20	0
0.9429372197309417	2	400	20	1
0.9396580717488789	2	400	25	0
0.9396288770553064	2	400	25	1
0.9304963411641345	2	400	30	0
0.9564461883408072	2	400	30	1
0.37210762331838565	2	500	5	0
0.2682484896992556	2	500	5	1
0.3764218111303313	2	500	10	0
0.3711659192825112	2	500	10	1
0.9490358744394619	2	500	20	0
0.929932735426009	2	500	20	1
0.9443946188340807	2	500	25	0
0.9413150306445778	2	500	25	1
0.9476233183856502	2	500	30	0
0.9424663677130045	2	500	30	1
0.29286764756531863	2	600	5	0
0.2782609729582824	2	600	5	1
0.4513826606875934	2	600	10	0
0.3847319105353485	2	600	10	1
0.9568759342301943	2	600	20	0
0.9573617339312407	2	600	20	1
0.9376681614349776	2	600	25	0
0.9598654708520179	2	600	25	1
0.9390134529147982	2	600	30	0
0.953289179117329	2	600	30	1
0.33038976676869053	2	700	5	0
0.26316463805253043	2	700	5	1
0.4628552569345076	2	700	10	0
0.32869955156950675	2	700	10	1
0.9536673297057299	2	700	20	0
0.9410634208840487	2	700	20	1
0.961531069827034	2	700	25	0
0.9651950963834371	2	700	25	1
0.9481101857783472	2	700	30	0
0.9636450992953235	2	700	30	1
0.334304932735426	2	800	5	0
0.31051008968609867	2	800	5	1
0.41304652466367714	2	800	10	0
0.3946188340807175	2	800	10	1
0.9597113228699552	2	800	20	0
0.9481332242887598	2	800	20	1
0.9642461021840226	2	800	25	0
0.9679512331838565	2	800	25	1
0.9601737668161435	2	800	30	0
0.9679932735426009	2	800	30	1
0.2951669157947185	2	900	5	0
0.2433233682112606	2	900	5	1
0.4042850024912805	2	900	10	0
0.38672147483806674	2	900	10	1
0.9667414050822123	2	900	20	0
0.9620079720976582	2	900	20	1
0.9651220727453911	2	900	25	0
0.965695067264574	2	900	25	1
0.9685600398604883	2	900	30	0
0.9636273044344793	2	900	30	1
0.3008071748878924	2	1000	5	0
0.28532292034060563	2	1000	5	1
0.4202242152466368	2	1000	10	0
0.3529035874439462	2	1000	10	1
0.9639399082378343	2	1000	20	0
0.9587331838565022	2	1000	20	1
0.9701905829596412	2	1000	25	0
0.9748654708520179	2	1000	25	1
0.9641748985947751	2	1000	30	0
0.963542600896861	2	1000	30	1
0.3093015021469975	2	1100	5	0
0.2680697105584998	2	1100	5	1
0.38324500611496126	2	1100	10	0
0.3703792499922327	2	1100	10	1
0.9692213615980432	2	1100	20	0
0.9663677130044843	2	1100	20	1
0.9591732892466123	2	1100	25	0
0.9716261089545817	2	1100	25	1
0.9710013849281033	2	1100	30	0
0.9823117195875043	2	1100	30	1
0.35455904334828103	2	1200	5	0
0.30917414050822123	2	1200	5	1
0.38104494293015917	2	1200	10	0
0.3419562780269058	2	1200	10	1
0.9633093810218452	2	1200	20	0
0.9635837070254111	2	1200	20	1
0.9683015695067264	2	1200	25	0
0.9702167414050822	2	1200	25	1
0.9717301943198804	2	1200	30	0
0.9737294469357249	2	1200	30	1
0.34851672990686444	2	1300	5	0
0.28763366678164887	2	1300	5	1
0.39363461857856474	2	1300	10	0
0.3454661459014195	2	1300	10	1
0.9693515005174198	2	1300	20	0
0.9772680234563642	2	1300	20	1
0.971229264009533	2	1300	25	0
0.9754829251466023	2	1300	25	1
0.9593308037254226	2	1300	30	0
0.9669486923971229	2	1300	30	1
0.3014547298740124	2	1400	5	0
0.31050757382343774	2	1400	5	1
0.41121877001921847	2	1400	10	0
0.33495467139896845	2	1400	10	1
0.9696096029966546	2	1400	20	0
0.9770553680725182	2	1400	20	1
0.9794315353799555	2	1400	25	0
0.9775908436455433	2	1400	25	1
0.9704352106775685	2	1400	30	0
0.9659192825112107	2	1400	30	1
0.31833422873244377	2	1500	5	0
0.2839611360239163	2	1500	5	1
0.40705530642750376	2	1500	10	0
0.32884902840059793	2	1500	10	1
0.971136023916293	2	1500	20	0
0.9773916292974589	2	1500	20	1
0.9715022421524664	2	1500	25	0
0.9682767133215564	2	1500	25	1
0.9828163926258097	2	1500	30	0
0.9670403587443946	2	1500	30	1
0.31811238789237667	2	1600	5	0
0.29250280269058293	2	1600	5	1
0.38429091928251125	2	1600	10	0
0.3489980381165919	2	1600	10	1
0.9744044282511211	2	1600	20	0
0.9753503363228699	2	1600	20	1
0.978026117787012	2	1600	25	0
0.9726737668161435	2	1600	25	1
0.9727438988079826	2	1600	30	0
0.9713214686098655	2	1600	30	1
