geneSymbol	cluster	vtest_score
ALDH18A1	1	0.23986251669480313
ALDH18A1	2	-0.2103407580179846
ALDH18A1	3	-0.18967419003571478
ALDH18A1	4	0.3760779069808329
ALDH18A1	5	-0.016565158062480895
ASNS	1	0.09255965015673215
ASNS	2	0.03131970559701583
ASNS	3	0.04217574585102841
ASNS	4	-0.26401905740811177
ASNS	5	0.07765536480866683
ATP5A1	1	0.1487308687542525
ATP5A1	2	0.2411497292483488
ATP5A1	3	-0.2707359355414152
ATP5A1	4	-0.10761706416332892
ATP5A1	5	-0.014046131324573616
ATP5B	1	0.186767637385056
ATP5B	2	-0.009087163060131733
ATP5B	3	-0.15942809062044314
ATP5B	4	0.05467436249252375
ATP5B	5	0.0075077663162786855
ATP5C1	1	0.24962764870836224
ATP5C1	2	-0.08069408963066661
ATP5C1	3	-0.0528032950792911
ATP5C1	4	-0.09141850927493364
ATP5C1	5	0.023123645749558573
ATP5D	1	0.2536495774247765
ATP5D	2	0.04622545345149438
ATP5D	3	-0.24932438911219734
ATP5D	4	0.03903318121210854
ATP5D	5	-3.053713500411651e-4
ATP5E	1	0.34549510915700854
ATP5E	2	0.17012232164571073
ATP5E	3	-0.4076454253869621
ATP5E	4	-0.05056469034975891
ATP5E	5	0.11492516656305873
ATP5F1	1	0.21819101860805099
ATP5F1	2	-0.07119273728576087
ATP5F1	3	-0.03721084442613886
ATP5F1	4	-0.08290701974810186
ATP5F1	5	-0.007822519038075423
ATP5G1	1	-0.31136448292724034
ATP5G1	2	0.286326908222396
ATP5G1	3	-0.02790886530037321
ATP5G1	4	-0.03557652334209758
ATP5G1	5	-0.009377400962383833
ATP5G2	1	0.46770251886978514
ATP5G2	2	-0.06725042242849266
ATP5G2	3	-0.4706224426066012
ATP5G2	4	0.2863338932777014
ATP5G2	5	0.1277740080113276
ATP5G3	1	0.2651198629896479
ATP5G3	2	-0.08312573700141287
ATP5G3	3	-0.26125868561217414
ATP5G3	4	0.21585444083741015
ATP5G3	5	0.09758347394122578
ATP5H	1	-0.2640734615026723
ATP5H	2	0.1768502477724445
ATP5H	3	0.05639480608964825
ATP5H	4	-0.0325853569297629
ATP5H	5	-0.07394703289076927
ATP5I	1	0.3112948213449757
